code;description;default_value;dictionary_id
C_SYSTEM-D_FA.fa-krw;fa-krw css class;fa-krw;3
C_SYSTEM-D_FA.fa-money;fa-money css class;fa-money;3
C_SYSTEM-D_FA.fa-rmb;fa-rmb css class;fa-rmb;3
C_SYSTEM-D_FA.fa-rouble;fa-rouble css class;fa-rouble;3
C_SYSTEM-D_FA.fa-rub;fa-rub css class;fa-rub;3
C_SYSTEM-D_FA.fa-ruble;fa-ruble css class;fa-ruble;3
C_SYSTEM-D_FA.fa-rupee;fa-rupee css class;fa-rupee;3
C_SYSTEM-D_FA.fa-try;fa-try css class;fa-try;3
C_SYSTEM-D_FA.fa-turkish-lira;fa-turkish-lira css class;fa-turkish-lira;3
C_SYSTEM-D_FA.fa-usd;fa-usd css class;fa-usd;3
C_SYSTEM-D_FA.fa-won;fa-won css class;fa-won;3
C_SYSTEM-D_FA.fa-yen;fa-yen css class;fa-yen;3
C_SYSTEM-D_FA.fa-align-center;fa-align-center css class;fa-align-center;3
C_SYSTEM-D_FA.fa-align-justify;fa-align-justify css class;fa-align-justify;3
C_SYSTEM-D_FA.fa-align-left;fa-align-left css class;fa-align-left;3
C_SYSTEM-D_FA.fa-align-right;fa-align-right css class;fa-align-right;3
C_SYSTEM-D_FA.fa-bold;fa-bold css class;fa-bold;3
C_SYSTEM-D_FA.fa-chain;fa-chain css class;fa-chain;3
C_SYSTEM-D_FA.fa-chain-broken;fa-chain-broken css class;fa-chain-broken;3
