id;code;description;default_value
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-flash;fa-flash css class;fa-flash
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-flask;fa-flask css class;fa-flask
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-folder;fa-folder css class;fa-folder
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-folder-o;fa-folder-o css class;fa-folder-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-folder-open;fa-folder-open css class;fa-folder-open
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-folder-open-o;fa-folder-open-o css class;fa-folder-open-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-frown-o;fa-frown-o css class;fa-frown-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-gamepad;fa-gamepad css class;fa-gamepad
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-gavel;fa-gavel css class;fa-gavel
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-gear;fa-gear css class;fa-gear
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-gears;fa-gears css class;fa-gears
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-gift;fa-gift css class;fa-gift
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-glass;fa-glass css class;fa-glass
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-globe;fa-globe css class;fa-globe
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-group;fa-group css class;fa-group
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-hdd-o;fa-hdd-o css class;fa-hdd-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-headphones;fa-headphones css class;fa-headphones
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-heart;fa-heart css class;fa-heart
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-heart-o;fa-heart-o css class;fa-heart-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-home;fa-home css class;fa-home
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-inbox;fa-inbox css class;fa-inbox
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-info;fa-info css class;fa-info
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-info-circle;fa-info-circle css class;fa-info-circle
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-key;fa-key css class;fa-key
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-keyboard-o;fa-keyboard-o css class;fa-keyboard-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-laptop;fa-laptop css class;fa-laptop
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-leaf;fa-leaf css class;fa-leaf
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-legal;fa-legal css class;fa-legal
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-lemon-o;fa-lemon-o css class;fa-lemon-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-level-down;fa-level-down css class;fa-level-down
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-level-up;fa-level-up css class;fa-level-up
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-lightbulb-o;fa-lightbulb-o css class;fa-lightbulb-o
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-location-arrow;fa-location-arrow css class;fa-location-arrow
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-lock;fa-lock css class;fa-lock
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-magic;fa-magic css class;fa-magic
HIBERNATE_SEQUENCE.NEXTVAL;C_SYSTEM-D_FA.fa-magnet;fa-magnet css class;fa-magnet
